id,NAME,GEOID,Select Age Range,Age 0-9,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70-79,Age 80 Plus,,
1,Atlantic,C34001,1,29.7,32.6,33.5,29.9,31.0,38.5,35.0,21.8,11.8,,
2,Bergen,C34003,1,102.6,114.8,106.3,116.4,126.6,137.7,112.6,69.3,45.8,,
3,Burlington,C34005,1,47.7,53.9,55.9,55.8,56.4,67.2,55.1,33.5,19.8,,
4,Camden,C34007,1,62.2,63.3,65.6,69.0,63.2,68.9,58.9,35.0,20.4,,
5,Cape May,C34009,1,8.5,9.2,10.0,9.1,8.8,13.2,15.8,11.4,6.0,,
6,Cumberland,C34011,1,19.4,19.5,19.4,20.7,19.1,19.1,16.4,10.2,5.9,,
7,Essex,C34013,1,105.9,102.7,105.7,110.7,110.6,106.3,81.8,46.8,28.6,,
8,Gloucester,C34015,1,32.4,37.8,36.9,36.2,37.8,42.9,36.0,20.9,10.7,,
9,Hudson,C34017,1,84.3,65.1,108.6,133.5,88.1,77.4,59.9,34.7,20.8,,
10,Hunterdon,C34019,1,11.3,15.4,13.4,12.4,15.3,22.0,18.5,10.4,5.6,,
11,Mercer,C34021,1,42.3,48.8,51.7,45.1,48.4,50.8,41.2,24.1,15.2,,
12,Middlesex,C34023,1,96.6,105.8,106.4,113.4,111.2,112.1,93.1,54.2,32.3,,
13,Monmouth,C34025,1,64.7,79.4,71.6,67.0,77.8,99.2,82.7,48.2,28.3,,
14,Morris,C34027,1,51.5,63.2,56.3,57.7,64.5,78.3,59.9,37.4,23.1,,
15,Ocean,C34029,1,84.1,74.5,67.6,63.2,61.7,76.6,78.9,62.6,38.0,,
16,Passaic,C34031,1,66.8,66.2,69.0,65.2,62.4,66.8,54.4,32.2,18.9,,
17,Salem,C34033,1,7.2,7.5,7.5,7.3,7.5,9.1,8.2,5.1,3.0,,
18,Somerset,C34035,1,34.9,43.6,37.7,38.7,45.5,52.6,39.5,22.1,14.3,,
19,Sussex,C34037,1,13.6,16.8,16.4,15.6,17.5,24.1,20.3,11.2,5.1,,
20,Union,C34039,1,71.3,71.8,68.2,74.7,76.0,78.3,60.1,34.4,21.5,,
21,Warren,C34041,1,10.0,12.9,12.4,11.6,12.9,17.5,14.3,8.5,5.1,,
